epoch,adapter,selection_metric,train_retrieval_loss,train_total_loss,val_retrieval_loss,val_total_loss,val_video_to_text_top1,val_video_to_text_top3,val_video_to_text_top5,val_text_to_video_top1,val_text_to_video_top3,val_text_to_video_top5,raw_val_video_to_text_top1,raw_val_video_to_text_top3,raw_val_video_to_text_top5,raw_val_text_to_video_top1,raw_val_text_to_video_top3,raw_val_text_to_video_top5,random_top1,random_top3,random_top5,logit_scale,temperature,quantum_active,quantum_param_count,quantum_grad_norm,quantum_residual_scale,num_total,num_train,num_val,num_test,num_gallery,seed,batch_size,lr,best_epoch,video_pooling,num_frames,feature_backend,text_pooling,text_preprocess,text_first_n_words,frame_sampling,video_chunk_stride,match_pooling,match_temperature,video_chunks_median,video_chunks_max,text_chunks_median,text_chunks_max,clip_model,video_encoder_model,train_video_to_text_mean_rank,train_video_to_text_median_rank,train_positive_logit_mean,train_top_negative_logit_mean,train_margin_mean,train_margin_min,train_logit_std,train_video_embedding_std_mean,raw_train_video_to_text_mean_rank,raw_train_video_to_text_median_rank,raw_train_positive_logit_mean,raw_train_top_negative_logit_mean,raw_train_margin_mean,raw_train_margin_min,raw_train_logit_std,raw_train_video_embedding_std_mean,val_video_to_text_mean_rank,val_video_to_text_median_rank,val_positive_logit_mean,val_top_negative_logit_mean,val_margin_mean,val_margin_min,val_logit_std,val_video_embedding_std_mean,raw_val_video_to_text_mean_rank,raw_val_video_to_text_median_rank,raw_val_positive_logit_mean,raw_val_top_negative_logit_mean,raw_val_margin_mean,raw_val_margin_min,raw_val_logit_std,raw_val_video_embedding_std_mean,test_video_to_text_top1,test_video_to_text_top3,test_video_to_text_top5,test_text_to_video_top1,test_text_to_video_top3,test_text_to_video_top5,raw_test_video_to_text_top1,raw_test_video_to_text_top3,raw_test_video_to_text_top5,raw_test_text_to_video_top1,raw_test_text_to_video_top3,raw_test_text_to_video_top5,eval_scope,eval_on_all,test_video_to_text_mean_rank,test_video_to_text_median_rank,test_positive_logit_mean,test_top_negative_logit_mean,test_margin_mean,test_margin_min,test_logit_std,test_video_embedding_std_mean,raw_test_video_to_text_mean_rank,raw_test_video_to_text_median_rank,raw_test_positive_logit_mean,raw_test_top_negative_logit_mean,raw_test_margin_mean,raw_test_margin_min,raw_test_logit_std,raw_test_video_embedding_std_mean
1,quantum,val_retrieval_loss,2.538440877741033,2.538440877741033,2.8986284732818604,2.8986284732818604,0.7200000286102295,0.8399999737739563,0.8399999737739563,0.800000011920929,0.9200000166893005,0.9399999976158142,0.800000011920929,0.8399999737739563,0.8600000143051147,0.800000011920929,0.9200000166893005,0.9200000166893005,0.02,0.06,0.1,14.285714149475098,0.07000000066757203,True,120,0.0015136712471081986,0.09782907366752625,500,350,50,100,50,2024,32,0.0002,1,mean,8,clip_frame,chunk_mean,none,40,uniform,,logmeanexp,0.07,1.0,1,1.0,1,openai/clip-vit-base-patch32,microsoft/xclip-base-patch32,14.279999732971191,2.0,26.59817886352539,26.845840454101562,-0.24766278266906738,-10.138429641723633,3.4106216430664062,0.02264716848731041,12.40571403503418,1.0,29.338699340820312,28.811172485351562,0.5275269746780396,-11.433547973632812,3.5369675159454346,0.02477194368839264,3.119999885559082,1.0,27.183666229248047,25.384897232055664,1.7987687587738037,-5.690696716308594,3.397839307785034,0.022327326238155365,3.0399999618530273,1.0,29.85742950439453,27.600736618041992,2.2566938400268555,-6.681526184082031,3.7019846439361572,0.024423694238066673,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2,quantum,val_retrieval_loss,2.531217943538319,2.531217943538319,2.8932204246520996,2.8932204246520996,0.7200000286102295,0.8399999737739563,0.8399999737739563,0.800000011920929,0.9200000166893005,0.9399999976158142,0.800000011920929,0.8399999737739563,0.8600000143051147,0.800000011920929,0.9200000166893005,0.9200000166893005,0.02,0.06,0.1,14.285714149475098,0.07000000066757203,True,120,0.0017927394189372898,0.09569045901298523,500,350,50,100,50,2024,32,0.0002,2,mean,8,clip_frame,chunk_mean,none,40,uniform,,logmeanexp,0.07,1.0,1,1.0,1,openai/clip-vit-base-patch32,microsoft/xclip-base-patch32,14.091428756713867,2.0,26.72776222229004,26.91082000732422,-0.18306036293506622,-10.182473182678223,3.4099743366241455,0.022760964930057526,12.40571403503418,1.0,29.338699340820312,28.811172485351562,0.5275269746780396,-11.433547973632812,3.5369675159454346,0.02477194368839264,3.0799999237060547,1.0,27.310632705688477,25.460153579711914,1.8504762649536133,-5.666255950927734,3.4030654430389404,0.022439487278461456,3.0399999618530273,1.0,29.85742950439453,27.600736618041992,2.2566938400268555,-6.681526184082031,3.7019846439361572,0.024423694238066673,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
3,quantum,val_retrieval_loss,2.526149207895452,2.526149207895452,2.8878421783447266,2.8878421783447266,0.7400000095367432,0.8399999737739563,0.8399999737739563,0.800000011920929,0.9200000166893005,0.9399999976158142,0.800000011920929,0.8399999737739563,0.8600000143051147,0.800000011920929,0.9200000166893005,0.9200000166893005,0.02,0.06,0.1,14.285714149475098,0.07000000066757203,True,120,0.0027473209466654493,0.09355758130550385,500,350,50,100,50,2024,32,0.0002,3,mean,8,clip_frame,chunk_mean,none,40,uniform,,logmeanexp,0.07,1.0,1,1.0,1,openai/clip-vit-base-patch32,microsoft/xclip-base-patch32,13.84000015258789,2.0,26.857086181640625,26.976633071899414,-0.11954387277364731,-10.227848052978516,3.4094936847686768,0.022874601185321808,12.40571403503418,1.0,29.338699340820312,28.811172485351562,0.5275269746780396,-11.433547973632812,3.5369675159454346,0.02477194368839264,3.0199999809265137,1.0,27.437658309936523,25.535383224487305,1.90227472782135,-5.639001846313477,3.408710241317749,0.02255147323012352,3.0399999618530273,1.0,29.85742950439453,27.600736618041992,2.2566938400268555,-6.681526184082031,3.7019846439361572,0.024423694238066673,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
4,quantum,val_retrieval_loss,2.52184440872886,2.52184440872886,2.882521390914917,2.882521390914917,0.7400000095367432,0.8399999737739563,0.8399999737739563,0.800000011920929,0.9200000166893005,0.9399999976158142,0.800000011920929,0.8399999737739563,0.8600000143051147,0.800000011920929,0.9200000166893005,0.9200000166893005,0.02,0.06,0.1,14.285714149475098,0.07000000066757203,True,120,0.0037105856100405218,0.09147430211305618,500,350,50,100,50,2024,32,0.0002,4,mean,8,clip_frame,chunk_mean,none,40,uniform,,logmeanexp,0.07,1.0,1,1.0,1,openai/clip-vit-base-patch32,microsoft/xclip-base-patch32,13.59428596496582,2.0,26.982242584228516,27.039522171020508,-0.05727863684296608,-10.274950981140137,3.408766031265259,0.022986702620983124,12.40571403503418,1.0,29.338699340820312,28.811172485351562,0.5275269746780396,-11.433547973632812,3.5369675159454346,0.02477194368839264,3.0,1.0,27.560152053833008,25.60626983642578,1.953881025314331,-5.612077713012695,3.4140660762786865,0.022661974653601646,3.0399999618530273,1.0,29.85742950439453,27.600736618041992,2.2566938400268555,-6.681526184082031,3.7019846439361572,0.024423694238066673,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
5,quantum,val_retrieval_loss,2.5176957087083296,2.5176957087083296,2.877225637435913,2.877225637435913,0.7599999904632568,0.8399999737739563,0.8399999737739563,0.800000011920929,0.9200000166893005,0.9399999976158142,0.800000011920929,0.8399999737739563,0.8600000143051147,0.800000011920929,0.9200000166893005,0.9200000166893005,0.02,0.06,0.1,14.285714149475098,0.07000000066757203,True,120,0.004230823882765437,0.08941178023815155,500,350,50,100,50,2024,32,0.0002,5,mean,8,clip_frame,chunk_mean,none,40,uniform,,logmeanexp,0.07,1.0,1,1.0,1,openai/clip-vit-base-patch32,microsoft/xclip-base-patch32,13.302857398986816,2.0,27.107513427734375,27.100770950317383,0.006742896977812052,-10.320564270019531,3.4080212116241455,0.02309846691787243,12.40571403503418,1.0,29.338699340820312,28.811172485351562,0.5275269746780396,-11.433547973632812,3.5369675159454346,0.02477194368839264,2.9200000762939453,1.0,27.683149337768555,25.679094314575195,2.004055976867676,-5.583564758300781,3.419602394104004,0.02277207374572754,3.0399999618530273,1.0,29.85742950439453,27.600736618041992,2.2566938400268555,-6.681526184082031,3.7019846439361572,0.024423694238066673,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
6,quantum,val_retrieval_loss,2.511671109633012,2.511671109633012,2.8720266819000244,2.8720266819000244,0.7799999713897705,0.8399999737739563,0.8399999737739563,0.800000011920929,0.9200000166893005,0.9399999976158142,0.800000011920929,0.8399999737739563,0.8600000143051147,0.800000011920929,0.9200000166893005,0.9200000166893005,0.02,0.06,0.1,14.285714149475098,0.07000000066757203,True,120,0.005450415170685949,0.08741318434476852,500,350,50,100,50,2024,32,0.0002,6,mean,8,clip_frame,chunk_mean,none,40,uniform,,logmeanexp,0.07,1.0,1,1.0,1,openai/clip-vit-base-patch32,microsoft/xclip-base-patch32,13.039999961853027,2.0,27.23021125793457,27.16179084777832,0.06841828674077988,-10.364768981933594,3.406203031539917,0.023206504061818123,12.40571403503418,1.0,29.338699340820312,28.811172485351562,0.5275269746780396,-11.433547973632812,3.5369675159454346,0.02477194368839264,2.880000114440918,1.0,27.803173065185547,25.74801254272461,2.0551633834838867,-5.549070358276367,3.423809051513672,0.022878512740135193,3.0399999618530273,1.0,29.85742950439453,27.600736618041992,2.2566938400268555,-6.681526184082031,3.7019846439361572,0.024423694238066673,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
7,quantum,val_retrieval_loss,2.5079454725438897,2.5079454725438897,2.8670194149017334,2.8670194149017334,0.7799999713897705,0.8399999737739563,0.8399999737739563,0.800000011920929,0.9200000166893005,0.9399999976158142,0.800000011920929,0.8399999737739563,0.8600000143051147,0.800000011920929,0.9200000166893005,0.9200000166893005,0.02,0.06,0.1,14.285714149475098,0.07000000066757203,True,120,0.00586036863693629,0.0854632705450058,500,350,50,100,50,2024,32,0.0002,7,mean,8,clip_frame,chunk_mean,none,40,uniform,,logmeanexp,0.07,1.0,1,1.0,1,openai/clip-vit-base-patch32,microsoft/xclip-base-patch32,12.814285278320312,2.0,27.346511840820312,27.218191146850586,0.1283225119113922,-10.403532028198242,3.4049837589263916,0.023311076685786247,12.40571403503418,1.0,29.338699340820312,28.811172485351562,0.5275269746780396,-11.433547973632812,3.5369675159454346,0.02477194368839264,2.880000114440918,1.0,27.91716766357422,25.813426971435547,2.103741407394409,-5.518638610839844,3.4283759593963623,0.022981632500886917,3.0399999618530273,1.0,29.85742950439453,27.600736618041992,2.2566938400268555,-6.681526184082031,3.7019846439361572,0.024423694238066673,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
8,quantum,val_retrieval_loss,2.4995030489834873,2.4995030489834873,2.8621890544891357,2.8621890544891357,0.7799999713897705,0.8399999737739563,0.8399999737739563,0.800000011920929,0.9200000166893005,0.9399999976158142,0.800000011920929,0.8399999737739563,0.8600000143051147,0.800000011920929,0.9200000166893005,0.9200000166893005,0.02,0.06,0.1,14.285714149475098,0.07000000066757203,True,120,0.006988499882913873,0.08355028927326202,500,350,50,100,50,2024,32,0.0002,8,mean,8,clip_frame,chunk_mean,none,40,uniform,,logmeanexp,0.07,1.0,1,1.0,1,openai/clip-vit-base-patch32,microsoft/xclip-base-patch32,12.548571586608887,2.0,27.457338333129883,27.273075103759766,0.18426190316677094,-10.444456100463867,3.4035696983337402,0.023411786183714867,12.40571403503418,1.0,29.338699340820312,28.811172485351562,0.5275269746780396,-11.433547973632812,3.5369675159454346,0.02477194368839264,2.859999895095825,1.0,28.025178909301758,25.873849868774414,2.1513302326202393,-5.489936828613281,3.432572603225708,0.02308088168501854,3.0399999618530273,1.0,29.85742950439453,27.600736618041992,2.2566938400268555,-6.681526184082031,3.7019846439361572,0.024423694238066673,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
9,quantum,val_retrieval_loss,2.4972082051363858,2.4972082051363858,2.8575549125671387,2.8575549125671387,0.7799999713897705,0.8399999737739563,0.8399999737739563,0.800000011920929,0.9200000166893005,0.9399999976158142,0.800000011920929,0.8399999737739563,0.8600000143051147,0.800000011920929,0.9200000166893005,0.9200000166893005,0.02,0.06,0.1,14.285714149475098,0.07000000066757203,True,120,0.0073151219023088855,0.08168108761310577,500,350,50,100,50,2024,32,0.0002,9,mean,8,clip_frame,chunk_mean,none,40,uniform,,logmeanexp,0.07,1.0,1,1.0,1,openai/clip-vit-base-patch32,microsoft/xclip-base-patch32,12.300000190734863,2.0,27.564476013183594,27.32229995727539,0.24217863380908966,-10.479948043823242,3.4019153118133545,0.023508036509156227,12.40571403503418,1.0,29.338699340820312,28.811172485351562,0.5275269746780396,-11.433547973632812,3.5369675159454346,0.02477194368839264,2.880000114440918,1.0,28.129961013793945,25.9322452545166,2.1977128982543945,-5.4579315185546875,3.436265468597412,0.023175673559308052,3.0399999618530273,1.0,29.85742950439453,27.600736618041992,2.2566938400268555,-6.681526184082031,3.7019846439361572,0.024423694238066673,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
10,quantum,val_retrieval_loss,2.4887189214879815,2.4887189214879815,2.8531785011291504,2.8531785011291504,0.7799999713897705,0.8399999737739563,0.8399999737739563,0.800000011920929,0.9200000166893005,0.9399999976158142,0.800000011920929,0.8399999737739563,0.8600000143051147,0.800000011920929,0.9200000166893005,0.9200000166893005,0.02,0.06,0.1,14.285714149475098,0.07000000066757203,True,120,0.007796642342056245,0.07985733449459076,500,350,50,100,50,2024,32,0.0002,10,mean,8,clip_frame,chunk_mean,none,40,uniform,,logmeanexp,0.07,1.0,1,1.0,1,openai/clip-vit-base-patch32,microsoft/xclip-base-patch32,12.079999923706055,2.0,27.66298484802246,27.368911743164062,0.29407447576522827,-10.514219284057617,3.4007163047790527,0.02359982579946518,12.40571403503418,1.0,29.338699340820312,28.811172485351562,0.5275269746780396,-11.433547973632812,3.5369675159454346,0.02477194368839264,2.880000114440918,1.0,28.226327896118164,25.986976623535156,2.239353656768799,-5.434064865112305,3.440390110015869,0.02326611615717411,3.0399999618530273,1.0,29.85742950439453,27.600736618041992,2.2566938400268555,-6.681526184082031,3.7019846439361572,0.024423694238066673,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
