epoch,loss,video_to_text_top1,video_to_text_top2,text_to_video_top1,text_to_video_top2
1,4.180184364318848,0.015625,0.046875,0.0625,0.09375
2,4.14078426361084,0.03125,0.03125,0.03125,0.046875
3,4.113394737243652,0.03125,0.03125,0.015625,0.109375
4,4.070887565612793,0.03125,0.09375,0.0,0.0625
5,4.008725166320801,0.046875,0.09375,0.015625,0.046875
6,3.920515775680542,0.046875,0.078125,0.03125,0.109375
7,3.787116050720215,0.03125,0.09375,0.046875,0.109375
8,3.614680767059326,0.046875,0.09375,0.078125,0.09375
9,3.354849100112915,0.078125,0.15625,0.09375,0.15625
10,3.338421106338501,0.078125,0.15625,0.078125,0.109375
11,3.337592124938965,0.0625,0.109375,0.09375,0.203125
12,3.229820728302002,0.109375,0.203125,0.109375,0.171875
13,3.051405429840088,0.0625,0.15625,0.15625,0.296875
14,3.032607316970825,0.109375,0.1875,0.078125,0.1875
15,2.9411590099334717,0.125,0.203125,0.125,0.296875
16,2.6467678546905518,0.140625,0.25,0.1875,0.3125
17,2.671928644180298,0.109375,0.234375,0.1875,0.265625
18,2.5555269718170166,0.125,0.25,0.125,0.3125
19,2.444026470184326,0.15625,0.28125,0.1875,0.3125
20,2.682220697402954,0.125,0.234375,0.109375,0.234375
