epoch,loss,video_to_text_top1,video_to_text_top2,text_to_video_top1,text_to_video_top2
1,4.162257194519043,0.015625,0.03125,0.0,0.03125
2,4.160636901855469,0.015625,0.03125,0.015625,0.03125
3,4.159918785095215,0.015625,0.015625,0.03125,0.0625
4,4.155259609222412,0.015625,0.03125,0.015625,0.015625
5,4.1407060623168945,0.03125,0.0625,0.015625,0.015625
6,4.098200798034668,0.015625,0.046875,0.03125,0.0625
7,4.048303604125977,0.03125,0.0625,0.03125,0.03125
8,3.993755340576172,0.015625,0.0625,0.046875,0.078125
9,4.210843086242676,0.03125,0.03125,0.03125,0.03125
10,4.040652275085449,0.03125,0.0625,0.0,0.03125
11,4.020191669464111,0.015625,0.0625,0.03125,0.046875
12,3.8721632957458496,0.03125,0.0625,0.03125,0.0625
13,3.913484573364258,0.046875,0.0625,0.015625,0.046875
14,3.7050628662109375,0.03125,0.0625,0.03125,0.0625
15,3.690122604370117,0.0625,0.109375,0.0625,0.09375
16,3.622372627258301,0.0625,0.109375,0.046875,0.09375
17,3.788170337677002,0.03125,0.0625,0.015625,0.03125
18,3.6553874015808105,0.03125,0.046875,0.015625,0.0625
19,3.7505362033843994,0.015625,0.046875,0.03125,0.078125
20,3.613145589828491,0.03125,0.046875,0.09375,0.15625
